"location","label","date","personnel","songs"
"Fat Tuesdays, New York City","[private recording]","October 18, 1992","['Rodney Kendrick (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['Up Jumped Spring [lyric version]', 'I Got Thunder (And It Rings)', 'The Merry Dancer']"
"Monmouth County Library, Shrewsbury, NJ","[private recording]","November 22, 1992","['Rodney Kendrick (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['Bird Alone', 'People In Me', ""Devil's Got Your Tongue"", 'Throw It Away', 'The Merry Dancer', 'Evalina Coffey (The Legend Of)']"
"Sweet Basil, New York City","ITM","1993","['Rodney Kendrick (p)', 'Michael Bowie (b)', 'Yoron Israel (d)', 'Abbey Lincoln (v)']","['The Music Is The Magic', 'Bird Alone', 'Throw It Away', 'How High The Moon', 'Brother, Can You Spare A Dime?', 'Spring Will Be A Little Late This Year', 'Wholly Earth']"
"Schomburg Center For Research In Black Culture, New York City","[private recording]","March 29, 1993","['Rodney Kendrick (p)', 'Mark Helias (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Skeppsholmen Festival, Stockholm, Sweden","[radio broadcast]","July 3, 1993","['Rodney Kendrick (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","['The Music Is The Magic', 'Throw It Away', 'Bird Alone', 'In The Red', ""Monkery's The Blues [lyric version of Blue Monk]"", ""Long As You're Living""]"
"Montreux Jazz Festival - New Q's, Montreux, Switzerland","[private recording]","July 4, 1993","['Rodney Kendrick (p)', 'Michael Bowie (b)', 'Aaron Walker (d)', 'Abbey Lincoln (v)']","[""Long As You're Living"", 'Throw It Away', 'The World Is Falling Down', 'Warm Valley', 'In The Red', ""Monkery's The Blues [lyric version of Blue Monk]"", 'How High The Moon', 'The Music Is The Magic', 'Down Here Below']"
"Power Station, New York City","Verve","August 19-21, 1993","['Bheki Mseleku (tsp)', 'Michael Bowie (b)', ""Marvin 'Smitty' Smith (d)"", 'Abbey Lincoln (v)']","['Through The Years']"
"Schomburg Center For Research In Black Culture, New York City","[private recording]","March 7, 1994","['Rodney Kendrick (p)', 'Michael Bowie (b)', 'Alvester Garnett (d)', 'Abbey Lincoln (v)']","['[unknown titles]']"
"Carnegie Hall, New York City","Verve","April 6, 1994","['J. J. Johnson (tb)', 'Hank Jones (p)', 'Charlie Haden (b)', 'Al Foster (d)', 'Abbey Lincoln (v)']","['I Must Have That Man']"
"Clinton Recording Studios, New York City","Verve","May 29, August 29, November 7 & 8, 1994","['Julien Lourau (ssts)', 'Roy Hargrove (t)', 'Pat Metheny (g)', 'Lucky Peterson (gv)', 'Kenny BarronRodney Kendrick (p)', 'Michael BowieCharlie HadenChristian McBride (b)', 'Victor Lewis (d)', 'Sandra BillingsleaPierre BlanchardVincent Pagliarin (vn)', 'Frédéric Fymard (vl)', 'Anne-Gaelle BisquayMarc GiletJohn Robinson (vc)', 'Abbey Lincoln (v)']","['Throw It Away', ""A Turtle's Dream"", 'Down Here Below', 'Nature Boy', 'Avec Le Temps', ""Should've Been"", 'My Love Is You', 'Storywise', 'Hey, Lordy Mama', 'Not To Worry', 'Being Me']"
